bookNr,name,dies,sex,age,isHighBorn,isWarg,isMagicUser,isBastard,isPOV,prevChapterAmount,hasValyrianSteel,height,hairColor,eyeColor,houseAllegiance,organization,location,title
1,Gared,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Waymar Royce,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Royce,none,unknown,Ser
1,Will,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Brandon Stark,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Mance Rayder,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Rayder,none,unknown,King
1,Old Nan,0,F,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Robb Stark,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Jon Snow,0,M,30,0,0,0,1,0,0,0,5.5,unknown,unknown,Snow,none,unknown,
1,Eddard Stark,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,Lord
1,Theon Greyjoy,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Greyjoy,none,unknown,
1,Robert Baratheon,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Baratheon,none,unknown,King
1,Jory Cassel,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Cassel,none,unknown,
1,Hullen,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Harwin,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Rodrik Cassel,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Cassel,none,unknown,Ser
1,Rickon Stark,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Desmond,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,
1,Catelyn Stark,0,F,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,Lady
1,Brandon Stark,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Arya Stark,0,F,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Sansa Stark,0,F,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Stark,none,unknown,
1,Luwin,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,Maester
1,Jon Arryn,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Arryn,none,unknown,Lord
1,Aerys II Targaryen,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Targaryen,none,unknown,King
1,Hoster Tully,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,Tully,none,unknown,Lord
1,Grand Maester Pycelle,0,M,30,0,0,0,0,0,0,0,5.5,unknown,unknown,,none,unknown,Grand Maester
